$ py main_bsc.py ber
0 / 600 回目,  0 0, FSCL: 0.13464 SCL 3.96838
1 / 600 回目,  0 0, FSCL: 0.12567 SCL 3.59338
2 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.31914
3 / 600 回目,  0 0, FSCL: 0.12968 SCL 3.26327
4 / 600 回目,  0 0, FSCL: 0.13664 SCL 3.39594
5 / 600 回目,  0 0, FSCL: 0.11568 SCL 3.36499
6 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.42581
7 / 600 回目,  0 0, FSCL: 0.11871 SCL 3.34904
8 / 600 回目,  0 0, FSCL: 0.13566 SCL 3.33405
9 / 600 回目,  0 0, FSCL: 0.12067 SCL 3.32313
10 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.44680
11 / 600 回目,  1 1, FSCL: 0.13067 SCL 3.54349
12 / 600 回目,  0 0, FSCL: 0.14860 SCL 3.41387
13 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.24431
14 / 600 回目,  0 0, FSCL: 0.14563 SCL 3.36699
15 / 600 回目,  1 1, FSCL: 0.11766 SCL 3.32111
16 / 600 回目,  1 1, FSCL: 0.13367 SCL 3.28020
17 / 600 回目,  0 0, FSCL: 0.12467 SCL 3.32712
18 / 600 回目,  0 0, FSCL: 0.11966 SCL 3.39594
19 / 600 回目,  0 0, FSCL: 0.13267 SCL 3.24230
20 / 600 回目,  0 0, FSCL: 0.11768 SCL 3.32213
21 / 600 回目,  1 1, FSCL: 0.12766 SCL 3.27521
22 / 600 回目,  0 0, FSCL: 0.12170 SCL 3.25925
23 / 600 回目,  0 0, FSCL: 0.12270 SCL 3.37995
24 / 600 回目,  0 0, FSCL: 0.12270 SCL 3.35802
25 / 600 回目,  0 0, FSCL: 0.12766 SCL 3.30219
26 / 600 回目,  0 0, FSCL: 0.11966 SCL 3.37201
27 / 600 回目,  0 0, FSCL: 0.12865 SCL 3.33108
28 / 600 回目,  0 0, FSCL: 0.12369 SCL 3.35104
29 / 600 回目,  1 1, FSCL: 0.12762 SCL 3.32612
30 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.30817
31 / 600 回目,  0 0, FSCL: 0.11373 SCL 3.32008
32 / 600 回目,  0 0, FSCL: 0.18650 SCL 3.33308
33 / 600 回目,  1 1, FSCL: 0.12469 SCL 3.35500
34 / 600 回目,  0 0, FSCL: 0.15159 SCL 3.50464
35 / 600 回目,  0 0, FSCL: 0.11970 SCL 3.27923
